Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
arremessar,v,5.28,3.12,5.19,4.85,7.06,1159.00
arremeter,v,3.94,2.29,4.10,7.27,4.85,128.00
arrendar,v,4.90,2.84,4.51,6.47,6.44,629.00
arrenegar,v,4.24,2.80,4.19,7.50,2.40,11.00
arrepender-se,v,3.33,2.73,3.83,6.54,5.63,280.00
arrepiar,v,3.56,3.54,3.92,5.59,6.65,770.00
arrestar,v,3.73,2.58,3.76,7.44,3.78,44.00
arriar,v,4.51,2.53,4.27,7.03,4.43,84.00
arribar,v,4.04,2.43,4.04,7.52,4.73,113.00
arriscar,v,3.80,4.45,4.13,5.39,9.06,8631.00
arrochar,v,4.09,2.79,4.11,7.56,3.37,29.00
arrogar,v,3.69,2.57,3.85,7.47,4.26,71.00
arrojar,v,4.27,2.44,4.46,6.82,4.13,62.00
arrolar,v,4.64,2.71,4.37,5.81,4.66,106.00
arrolhar,v,4.37,2.62,4.28,7.51,2.20,9.00
arrombar,v,4.76,3.39,4.64,5.18,7.16,1290.00
arrostar,v,3.27,2.70,3.63,7.47,5.15,173.00
arrotar,v,4.89,3.36,4.87,6.64,5.65,283.00
arruinar,v,2.65,3.70,3.76,5.29,8.17,3525.00
arrulhar,v,4.03,2.39,4.04,7.09,3.64,38.00
arrumar,v,4.78,5.28,4.78,3.23,9.39,12015.00
articular,v,3.89,3.65,4.09,6.59,8.17,3548.00
arvorar,v,4.16,2.52,4.25,7.15,5.49,242.00
ascender,v,3.42,2.95,3.76,7.10,8.10,3289.00
asfaltar,v,4.40,2.76,4.01,7.35,5.28,197.00
asfixiar,v,3.67,2.83,4.03,7.19,6.02,413.00
asilar,v,4.19,2.59,3.88,8.02,3.85,47.00
aspergir,v,4.99,2.68,4.76,5.78,3.58,36.00
aspirar,v,3.42,3.74,3.88,6.11,7.56,1913.00
assalariar,v,4.34,2.65,4.27,7.73,2.64,14.00
assaltar,v,4.80,3.48,4.79,6.05,8.02,3037.00
assanhar,v,4.02,2.81,4.17,7.33,3.22,25.00
assar,v,6.23,3.79,5.69,4.78,7.04,1141.00
assassinar,v,4.18,3.16,4.31,5.59,8.47,4775.00
assear,v,4.38,2.94,4.33,7.45,2.77,16.00
assediar,v,4.42,2.68,4.58,7.31,6.22,504.00
assegurar,v,3.17,4.54,2.94,6.94,11.51,99828.00
assemelhar,v,4.06,2.93,4.27,7.70,6.18,484.00
assenhorear-se,v,3.85,2.39,3.80,7.49,4.04,57.00
assentar,v,4.04,3.48,3.87,6.03,8.32,4110.00
assentir,v,4.12,2.53,4.06,7.75,3.61,37.00
assessorar,v,3.90,2.77,3.77,9.14,6.53,687.00
asseverar,v,3.32,2.70,3.34,7.92,4.79,120.00
assimilar,v,2.69,3.46,3.06,7.03,7.45,1715.00
assinalar,v,3.87,3.84,3.70,6.12,9.33,11238.00
assinar,v,4.39,4.67,4.50,5.20,10.23,27847.00
assistir,v,4.01,5.17,4.63,4.21,10.70,44450.00
assoalhar,v,4.22,2.42,4.13,7.19,3.14,23.00
assoar,v,4.95,3.52,4.75,6.63,5.20,181.00
assoberbar,v,3.89,2.62,3.88,7.62,3.09,22.00
assobiar,v,4.77,3.59,4.63,5.40,6.51,672.00
assoviar,v,4.58,3.17,4.75,6.84,4.53,93.00
associar,v,3.34,4.28,3.81,6.48,8.87,7142.00
assolar,v,3.52,2.46,4.00,7.41,5.54,254.00
assomar,v,4.68,2.84,4.63,6.84,4.80,122.00
assombrar,v,3.56,2.97,4.19,6.14,6.51,669.00
assorear,v,4.40,2.68,4.39,7.05,3.14,23.00
assumir,v,3.78,4.49,3.73,6.44,11.06,63770.00
assuntar,v,4.23,2.87,4.23,7.35,2.48,12.00
assustar,v,3.62,4.28,4.33,4.37,8.57,5297.00
atacar,v,3.92,4.31,4.42,4.70,10.30,29700.00
atalhar,v,3.28,2.93,3.35,7.23,5.43,228.00
atapetar,v,4.30,2.79,4.26,7.45,2.40,11.00
atar,v,4.95,2.88,4.42,6.90,6.32,554.00
atazanar,v,4.33,2.89,4.50,7.12,4.38,80.00
atear,v,5.40,3.24,5.42,6.58,6.84,936.00
atemorizar,v,3.65,2.77,4.14,7.23,4.96,142.00
atender,v,4.17,5.10,4.35,4.98,10.46,34999.00
atentar,v,3.10,3.64,3.56,7.55,7.45,1726.00
atenuar,v,3.44,3.36,3.70,7.23,8.55,5187.00
aterrar,v,5.01,3.12,5.16,5.84,7.67,2140.00
aterrissar,v,4.82,2.73,4.84,5.66,6.82,918.00
aterrizar,v,4.69,2.56,4.45,7.89,4.87,130.00
aterrorizar,v,3.42,2.85,4.01,6.88,6.58,718.00
ater-se,v,3.56,2.65,3.47,7.60,4.97,144.00
atestar,v,3.26,3.23,3.25,8.55,7.15,1271.00
atiçar,v,3.86,3.12,4.30,6.66,5.89,362.00
atinar,v,3.32,3.60,3.95,6.68,5.42,226.00
atingir,v,3.87,4.67,4.21,5.39,11.10,66174.00
atirar,v,5.40,4.20,5.48,2.55,9.57,14368.00
ativar,v,4.37,3.41,4.44,6.17,8.08,3219.00
atolar,v,3.90,2.98,4.36,6.84,4.55,95.00
atomizar,v,4.23,2.85,4.24,7.29,3.33,28.00
atordoar,v,4.29,2.65,4.37,6.90,5.38,218.00
atormentar,v,3.65,3.12,4.32,5.23,6.55,699.00
atracar,v,4.61,2.49,4.72,5.90,6.55,696.00
atraiçoar,v,2.79,3.02,3.43,8.29,4.71,111.00
atrair,v,3.32,4.22,3.98,5.12,9.83,18584.00
atrapalhar,v,2.81,4.19,3.70,5.83,8.78,6503.00
atrasar,v,3.33,4.35,3.59,5.01,9.00,8105.00
atravancar,v,3.76,2.50,3.89,7.71,3.64,38.00
atravessar,v,4.42,4.31,4.74,4.59,9.65,15452.00
atrelar,v,4.56,2.84,4.48,6.80,5.49,242.00
atrever-se,v,3.91,2.63,4.06,7.16,4.32,75.00
atribuir,v,3.07,4.22,3.25,6.75,9.62,15122.00
